2018-12-12 18:28:14 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-12-12 18:28:14 INFO  SparkContext:54 - Running Spark version 2.4.0
2018-12-12 18:28:14 INFO  SparkContext:54 - Submitted application: SQLContextApp
2018-12-12 18:28:14 INFO  SecurityManager:54 - Changing view acls to: david
2018-12-12 18:28:14 INFO  SecurityManager:54 - Changing modify acls to: david
2018-12-12 18:28:14 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-12-12 18:28:14 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-12-12 18:28:14 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(david); groups with view permissions: Set(); users  with modify permissions: Set(david); groups with modify permissions: Set()
2018-12-12 18:28:14 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 65473.
2018-12-12 18:28:14 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-12-12 18:28:14 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-12-12 18:28:14 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-12-12 18:28:14 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-12-12 18:28:14 INFO  DiskBlockManager:54 - Created local directory at /private/var/folders/l0/jr40crgn2vz64p3vyjwsttqr0000gn/T/blockmgr-88370bc8-a0aa-4028-b2f2-ced108b7a268
2018-12-12 18:28:14 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2018-12-12 18:28:14 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-12-12 18:28:14 INFO  log:192 - Logging initialized @1298ms
2018-12-12 18:28:14 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2018-12-12 18:28:14 INFO  Server:419 - Started @1358ms
2018-12-12 18:28:14 INFO  AbstractConnector:278 - Started ServerConnector@2d35442b{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-12-12 18:28:14 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-12-12 18:28:14 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4d157787{/jobs,null,AVAILABLE,@Spark}
2018-12-12 18:28:14 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4d0402b{/jobs/json,null,AVAILABLE,@Spark}
2018-12-12 18:28:14 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2fa7ae9{/jobs/job,null,AVAILABLE,@Spark}
2018-12-12 18:28:14 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3704122f{/jobs/job/json,null,AVAILABLE,@Spark}
2018-12-12 18:28:14 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3153ddfc{/stages,null,AVAILABLE,@Spark}
